index,Output,Input
189,"Beth, Squanchy culture is more... contextual than literal. You just say what's in your squanch and people understand.","Ughhhh... belchflies towards front doorTurning back around and re-entering dining roomScoffsHovers over Jerry and fully shoves him into underside before flying away through open front door and into skyRuns to front doorFollow BethLooking into skyStill eating cerealUnscrewing and drinking from scotch flaskMorty waveskissing Beth's handHolding a suit in a dry cleaning bag* Your language has 'squanch,' in it a lot. Doesn't that become tedious and worn out like the Smurf thing? Gross, what is that thing? Uh, w-why don't you get it Jerry? you're the man of the house and you don't have a job. Jerry, get a job. The trick to cereal is keeping 70% of it above the milk. Yeah, that's him. Hey, man, remember me?  I got something for your ass! You don't mess with time! You don't fuck with time, motherfucker! "
190,"Oh boy. Time to go, Morty.","What? I do, I squanch my family. Oh, okay... I squanch my family. Beth, Squanchy culture is more... contextual than literal. You just say what's in your squanch and people understand. Ughhhh... belchflies towards front doorTurning back around and re-entering dining roomScoffsHovers over Jerry and fully shoves him into underside before flying away through open front door and into skyRuns to front doorFollow BethLooking into skyStill eating cerealUnscrewing and drinking from scotch flaskMorty waveskissing Beth's handHolding a suit in a dry cleaning bag* Your language has 'squanch,' in it a lot. Doesn't that become tedious and worn out like the Smurf thing? Gross, what is that thing? Uh, w-why don't you get it Jerry? you're the man of the house and you don't have a job. "
191,"The Pentagon. I mean, not THE Pentagon.  The lame one, here on Earth.","Uhh, where? Oh boy. Time to go, Morty. What? I do, I squanch my family. Oh, okay... I squanch my family. Beth, Squanchy culture is more... contextual than literal. You just say what's in your squanch and people understand. Ughhhh... belchflies towards front doorTurning back around and re-entering dining roomScoffsHovers over Jerry and fully shoves him into underside before flying away through open front door and into skyRuns to front doorFollow BethLooking into skyStill eating cerealUnscrewing and drinking from scotch flaskMorty waveskissing Beth's handHolding a suit in a dry cleaning bag* Your language has 'squanch,' in it a lot. Doesn't that become tedious and worn out like the Smurf thing? "
192,Morty and I are going to look into it. You guys hold tight.,"Dad, what do you know about this? Ok… Shut up, Jerry. She’s allowed to think it’s God if she wants, honey! It’s not God, Summer. Is it God? If it’s God, do we get out of school? "
193,Stay back! This watch turns people into snakes!,"Have you tried sending it launch codes? Mr. President, what America’s got is 70,000 megatons of KABOOM-BOOM! And I say we show it right up this floating head’s ass! Gentlemen, gentlemen, one at a time! Simon? Ma’am, a giant head in the sky is controlling the weather. Did you wanna play checkers? Let’s be rational! I’ll see you at God’s house! How is praying going to help? Scary stuff, huh? Pretty freaky. Hi, I’m Morty’s math teacher. I’m also part of the street team inviting folks to the church downtown so we can pray together. Morty and I are going to look into it. You guys hold tight. "
194,My name is Rick Sanchez. This here’s my grandson Morty.,"Stand down. Everybody stand down! I’m the leader of these people and I’m unarmed. There’s no need for any more snake-makery. Stay back! This watch turns people into snakes! Have you tried sending it launch codes? Mr. President, what America’s got is 70,000 megatons of KABOOM-BOOM! And I say we show it right up this floating head’s ass! Gentlemen, gentlemen, one at a time! Simon? Ma’am, a giant head in the sky is controlling the weather. Did you wanna play checkers? Let’s be rational! I’ll see you at God’s house! How is praying going to help? "
195,"I’ve seen enough of the galaxy to know that what we’ve got here is a Cromulon from the Cygnus-5 Expanse. So you can forget about nukes, and you can forget about math.  This head won’t go away until  Earth shows them it’s got a hit song.","Hey. My name is Rick Sanchez. This here’s my grandson Morty. Stand down. Everybody stand down! I’m the leader of these people and I’m unarmed. There’s no need for any more snake-makery. Stay back! This watch turns people into snakes! Have you tried sending it launch codes? Mr. President, what America’s got is 70,000 megatons of KABOOM-BOOM! And I say we show it right up this floating head’s ass! Gentlemen, gentlemen, one at a time! Simon? "
196,"No, Frasier. A live performance of a newly-written, catchy, original song. The Cromulon feed on the talent and showmanship of less-evolved lifeforms.","I’ve seen enough of the galaxy to know that what we’ve got here is a Cromulon from the Cygnus-5 Expanse. So you can forget about nukes, and you can forget about math.  This head won’t go away until  Earth shows them it’s got a hit song. Hey. My name is Rick Sanchez. This here’s my grandson Morty. Stand down. Everybody stand down! I’m the leader of these people and I’m unarmed. There’s no need for any more snake-makery. Stay back! This watch turns people into snakes! Have you tried sending it launch codes? Mr. President, what America’s got is 70,000 megatons of KABOOM-BOOM! And I say we show it right up this floating head’s ass! "
197,You’re gonna wanna put them on that giant speaker system at your sonic testing facility at Area 51.,"All right, all right. Thank you, Mr. Sanchez. Change of plan, people. Get me Pharrell, Randy Newman, Billy Corgan, and The-Dream.  The-Dream? He wrote “Umbrella” and “Single Ladies”? You people haven’t heard of The-Dream? No, Frasier. A live performance of a newly-written, catchy, original song. The Cromulon feed on the talent and showmanship of less-evolved lifeforms. I’ve seen enough of the galaxy to know that what we’ve got here is a Cromulon from the Cygnus-5 Expanse. So you can forget about nukes, and you can forget about math.  This head won’t go away until  Earth shows them it’s got a hit song. Hey. My name is Rick Sanchez. This here’s my grandson Morty. Stand down. Everybody stand down! I’m the leader of these people and I’m unarmed. There’s no need for any more snake-makery. "
198,"Good luck, Mr. President.","Dear God. What? How is that possible? Do people just die when I name them? For God’s sake, Nathan, the man turns people into snakes. He can use Google Maps. How do you know about that? You’re gonna wanna put them on that giant speaker system at your sonic testing facility at Area 51. All right, all right. Thank you, Mr. Sanchez. Change of plan, people. Get me Pharrell, Randy Newman, Billy Corgan, and The-Dream.  The-Dream? He wrote “Umbrella” and “Single Ladies”? You people haven’t heard of The-Dream? "
199,"I dabble, Mr. President.","Sanchez! Are you a musician? Good luck, Mr. President. Dear God. What? How is that possible? Do people just die when I name them? For God’s sake, Nathan, the man turns people into snakes. He can use Google Maps. How do you know about that? "
200,"Who’s NOT a musician, Morty?","Rick, are you really a musician? Ohhhh, this is my favorite part! Ah, di di di di.  Bob, Bob, I get it. But unless this  can beat that… what have you done for me lately?  So if you wanna excuse me, I’m going out on the sidewalk and dropping to my knees and pledging my eternal soul to the thing that literally controls the fucking weather!  Outta my way! Hi, Principal Vagina. The name’s real, possibly Scandinavian. I’m just gonna come out and make this pitch. The old gods are dead. Fuck all previous existing religions. All hail the one true god, the giant head in the sky. Get this man and his grandson on a Blackhawk to Area 51. I dabble, Mr. President. "
201,"Yeah, not with that attitude.","Me! Who’s NOT a musician, Morty? Rick, are you really a musician? Ohhhh, this is my favorite part! Ah, di di di di.  Bob, Bob, I get it. But unless this  can beat that… what have you done for me lately?  So if you wanna excuse me, I’m going out on the sidewalk and dropping to my knees and pledging my eternal soul to the thing that literally controls the fucking weather!  Outta my way! Hi, Principal Vagina. The name’s real, possibly Scandinavian. I’m just gonna come out and make this pitch. The old gods are dead. Fuck all previous existing religions. All hail the one true god, the giant head in the sky. "
202,"All right, Morty, let’s get ready to do it! Why don’t you, uh, find a button on one of those keyboards and lay down some kind of beat?","Giant head in the sky, please forgive all that we’ve done. We’re sorry for increased levels of emissions and our racism. And of course, the amber alerts I keep ignoring on my phone. B-b-but we don’t have a song! Yeah, not with that attitude. Me! Who’s NOT a musician, Morty? Rick, are you really a musician? "
203,"Morty! Good music comes from people who are relaxed. Just hit a button, Morty! Gimme a beat!","Rick, I think we need to cut our losses. We get our family and portal out of here! All right, Morty, let’s get ready to do it! Why don’t you, uh, find a button on one of those keyboards and lay down some kind of beat? Giant head in the sky, please forgive all that we’ve done. We’re sorry for increased levels of emissions and our racism. And of course, the amber alerts I keep ignoring on my phone. B-b-but we don’t have a song! Yeah, not with that attitude. Me! "
204,Ahhhhh yeahhhhh Ya gotta get schwifty  Ya gotta get schwifty in here It’s time to get schwifty,"Oh man, ok, all right, um… Morty! Good music comes from people who are relaxed. Just hit a button, Morty! Gimme a beat! Rick, I think we need to cut our losses. We get our family and portal out of here! All right, Morty, let’s get ready to do it! Why don’t you, uh, find a button on one of those keyboards and lay down some kind of beat? Giant head in the sky, please forgive all that we’ve done. We’re sorry for increased levels of emissions and our racism. And of course, the amber alerts I keep ignoring on my phone. B-b-but we don’t have a song! "
205,Take off your pants and your panties Shit on the floor Time to get schwifty in here I’m Mr. Bulldops,"It’s our world’s best effort, that’s what. Get… schwifty? What the hell is that? Ahhhhh yeahhhhh Ya gotta get schwifty  Ya gotta get schwifty in here It’s time to get schwifty Oh man, ok, all right, um… Morty! Good music comes from people who are relaxed. Just hit a button, Morty! Gimme a beat! Rick, I think we need to cut our losses. We get our family and portal out of here! "
206,Take a shit on the floor Time to get schwifty in here,"Don’t analyze it, Nathan. It’s working! Mr. Bulldops? Take off your pants and your panties Shit on the floor Time to get schwifty in here I’m Mr. Bulldops It’s our world’s best effort, that’s what. Get… schwifty? What the hell is that? Ahhhhh yeahhhhh Ya gotta get schwifty  Ya gotta get schwifty in here It’s time to get schwifty "
207,"Hey, take your pants off It’s schwifty time today","Listen! The storm is stopping! Take a shit on the floor Time to get schwifty in here Don’t analyze it, Nathan. It’s working! Mr. Bulldops? Take off your pants and your panties Shit on the floor Time to get schwifty in here I’m Mr. Bulldops It’s our world’s best effort, that’s what. "
208,I think planet Earth has just been transported.,"What the hell happened? Oh, God, what’s going on now? No, I’m… I’m just saying, we don’t know if there’s a cause-effect relationship -- Now hold on a second, let’s be rational about this. Please be kind to us for we are but tiny things with entire bodies stuck to your ground. Hey, take your pants off It’s schwifty time today "
209,"Uhh, it’s probably a bad time to mention it, but any astronauts you guys had in orbit are definitely dead.","WE ASKED THEM TO SHOW US WHAT THEY GOT. AND THEY DID. NOW WE’LL SEE WHICH OF THEM HAS GOT THE MOST. 24 HOURS, FIVE PLANETS, FIVE SONGS. BUT IN THE END, THERE CAN ONLY BE ONE. PLANET MUSIC! All participation is involuntary. Disqualified and losing planets are disintegrated by plasma ray. Oh dear giant head, we apologize for that discussion! It will never happen again! Holy CRAP! The head has left and sent its children! I think planet Earth has just been transported. What the hell happened? "
210,"Geez, Morty. The guy’s just doing his job. Take it easy.","Like we’re not already under enough pressure! There’s one every season. Moving on to planet Arbolez Meterosos. Arbolian Meterososians. SHOW US WHAT YOU GOT. DISQUALIFIED! Welcome back to Planet Music! First up, let’s hear the latest song from planet Parblesnops. The Greebybobes! SHOW ME WHAT YOU GOT. Uhh, it’s probably a bad time to mention it, but any astronauts you guys had in orbit are definitely dead. WE ASKED THEM TO SHOW US WHAT THEY GOT. AND THEY DID. NOW WE’LL SEE WHICH OF THEM HAS GOT THE MOST. 24 HOURS, FIVE PLANETS, FIVE SONGS. BUT IN THE END, THERE CAN ONLY BE ONE. PLANET MUSIC! All participation is involuntary. Disqualified and losing planets are disintegrated by plasma ray. "
211,"Genius happens in the moment, Morty.","Rick, Ice-T, could you guys take it less easy?! We’ve got six hours to come up with a song! Geez, Morty. The guy’s just doing his job. Take it easy. Like we’re not already under enough pressure! There’s one every season. Moving on to planet Arbolez Meterosos. Arbolian Meterososians. SHOW US WHAT YOU GOT. DISQUALIFIED! Welcome back to Planet Music! First up, let’s hear the latest song from planet Parblesnops. The Greebybobes! SHOW ME WHAT YOU GOT. "
212,"That’s planning for failure, Morty. Even dumber than regular planning.  Balls.","Well, can we at least go get our family? You know, so we can take them with-with-with us if we lose? Genius happens in the moment, Morty. Rick, Ice-T, could you guys take it less easy?! We’ve got six hours to come up with a song! Geez, Morty. The guy’s just doing his job. Take it easy. Like we’re not already under enough pressure! There’s one every season. Moving on to planet Arbolez Meterosos. Arbolian Meterososians. SHOW US WHAT YOU GOT. "
213,"Morty, Morty, stop! Listen! There’s only so much charge left in this thing. If we portal home from here and back, we’re not gonna have enough charge left to get off-world. Get it?","That’s planning for failure, Morty. Even dumber than regular planning.  Balls. Well, can we at least go get our family? You know, so we can take them with-with-with us if we lose? Genius happens in the moment, Morty. Rick, Ice-T, could you guys take it less easy?! We’ve got six hours to come up with a song! Geez, Morty. The guy’s just doing his job. Take it easy. Like we’re not already under enough pressure! "
214,"Yeah,  you see, I try to shelter you from certain realities,  Morty. Cause if I let you make me nervous, then we can’t get schwifty.","What?! Morty, Morty, stop! Listen! There’s only so much charge left in this thing. If we portal home from here and back, we’re not gonna have enough charge left to get off-world. Get it? That’s planning for failure, Morty. Even dumber than regular planning.  Balls. Well, can we at least go get our family? You know, so we can take them with-with-with us if we lose? Genius happens in the moment, Morty. Rick, Ice-T, could you guys take it less easy?! We’ve got six hours to come up with a song! "
215,"Hey, Morty! Could you lick my…","Stop saying it like it’s a thing! You made it up! Yeah,  you see, I try to shelter you from certain realities,  Morty. Cause if I let you make me nervous, then we can’t get schwifty. What?! Morty, Morty, stop! Listen! There’s only so much charge left in this thing. If we portal home from here and back, we’re not gonna have enough charge left to get off-world. Get it? That’s planning for failure, Morty. Even dumber than regular planning.  Balls. Well, can we at least go get our family? You know, so we can take them with-with-with us if we lose? "
216,"Wait, wait, wait! Come on, h-hold on a second!","Aw, damn. We’re out of original flavor Fig Newtons. I should get going anyway. Who would take a lobster to see Iron Man 3? A squeegee comes up from the garage, right? And he’s got a lobster in one hand and movie tickets in the other. He’s like, “I’m ready!” Oh yes, yes! Rise to the giant head! You are free to be free! We hereby send these un-wantables skyward that they might be inhaled by the many heads, later to be sneezed back to us as better babies!  Headward, free now to rise.  Headward, free now to rise.  Headward, free now to rise. Sure! Let’s go to the Ascension. Wh-wh-what is it? "
217,"Whoa, whoa! Morty! Give me that!","That’s it! Damn. You didn’t tell me you fuck around with portals and shit. What?! Wait, wait, wait! Come on, h-hold on a second! Aw, damn. We’re out of original flavor Fig Newtons. I should get going anyway. Who would take a lobster to see Iron Man 3? "
218,"Morty, just put it down. You don’t know what you’re doing.","You lied! You lied about the charge! You were just being lazy! Get back! Sit down! Whoa, whoa! Morty! Give me that! That’s it! Damn. You didn’t tell me you fuck around with portals and shit. What?! Wait, wait, wait! Come on, h-hold on a second! "
219,Nooooo!,"I’m going to go find Mom and Dad. Morty, just put it down. You don’t know what you’re doing. You lied! You lied about the charge! You were just being lazy! Get back! Sit down! Whoa, whoa! Morty! Give me that! That’s it! Damn. You didn’t tell me you fuck around with portals and shit. "
220,"Ahhhh, shit!","Nooooo! I’m going to go find Mom and Dad. Morty, just put it down. You don’t know what you’re doing. You lied! You lied about the charge! You were just being lazy! Get back! Sit down! Whoa, whoa! Morty! Give me that! That’s it! "
221,"Wh-What do you think, Ice? Probably a little over-developed.","You appear to be dying. I will make efforts to prevent this, but can promise nothing. Birdperson? Morty. Of course I do, silly!  Oh my God, daddy, I’m sorry I called you silly! I’m so sorry!  Heavenly head and cranial creator! Forgive my transgressions against family and community! May my chores complete me as I complete them! We’re so proud of you. But honestly, you don’t have to make dinner every night. That’s wonderful, Summer! "
222,"Well, do you think maybe, could you give me some help with it, or… ?","Shit. Over-developed, under-developed. Bad songs are bad songs. Wh-What do you think, Ice? Probably a little over-developed. You appear to be dying. I will make efforts to prevent this, but can promise nothing. Birdperson? Morty. Of course I do, silly!  Oh my God, daddy, I’m sorry I called you silly! I’m so sorry!  Heavenly head and cranial creator! Forgive my transgressions against family and community! May my chores complete me as I complete them! "
223,"Ice, I don’t want to be a negative Nelly or anything, but  if Morty doesn’t come back with my portal gun and I eat it out there, it’s, uh, kind of your problem too.","Ah, hell no, man. You do your thing, but I can’t afford to get my pride wrapped up in your shame. You know what I’m sayin’? Well, do you think maybe, could you give me some help with it, or… ? Shit. Over-developed, under-developed. Bad songs are bad songs. Wh-What do you think, Ice? Probably a little over-developed. You appear to be dying. I will make efforts to prevent this, but can promise nothing. Birdperson? "
224,What? Why not?,"Pfff. I ain’t worried about no Earth blowin’ up, man. Ice, I don’t want to be a negative Nelly or anything, but  if Morty doesn’t come back with my portal gun and I eat it out there, it’s, uh, kind of your problem too. Ah, hell no, man. You do your thing, but I can’t afford to get my pride wrapped up in your shame. You know what I’m sayin’? Well, do you think maybe, could you give me some help with it, or… ? Shit. Over-developed, under-developed. Bad songs are bad songs. Wh-What do you think, Ice? Probably a little over-developed. "
225,What the fuck? You can turn into ice?,"Yo, this is why. What? Why not? Pfff. I ain’t worried about no Earth blowin’ up, man. Ice, I don’t want to be a negative Nelly or anything, but  if Morty doesn’t come back with my portal gun and I eat it out there, it’s, uh, kind of your problem too. Ah, hell no, man. You do your thing, but I can’t afford to get my pride wrapped up in your shame. You know what I’m sayin’? Well, do you think maybe, could you give me some help with it, or… ? "
226,"Take it from me, Ice.  You can’t just  float around space not caring about stuff forever.","My story begins at the dawn of time in the far away realm of Alphabetrium. There, every being is a letter of the alphabet. But I was frozen and exiled to the cosmos by my elders as punishment for not caring enough about anything. Earth is just one of the many stops on my lifelong journey with no destination. So you better believe I don’t care if it blows up! Cause I’ll just be ice, floatin’ through space, like a comet! What the fuck? You can turn into ice? Yo, this is why. What? Why not? Pfff. I ain’t worried about no Earth blowin’ up, man. Ice, I don’t want to be a negative Nelly or anything, but  if Morty doesn’t come back with my portal gun and I eat it out there, it’s, uh, kind of your problem too. "
227,"Ahem.  Uhhh… lop-oo-lop-oo-lop-oo-dups, nop-oo-nop-oo-nop-oo-nuts.","SHOW ME WHAT YOU GOT. Exactly! Uhhh, I’m not sure? Can the Pope’s dick fit through a donut? Oh my God! C-c-can you fly a Blackhawk? It won’t matter how schwifty you get, Morty. The General’s got nukes set to launch halfway through Earth’s song! "
228,"Nup-oo-nup-oo-nup-oo-nups… ooh, tough crowd.","Mr. President, if I’ve learned one thing today, it’s that sometimes, you have to not give a fuck! I’m really bad at this, Morty! There are way too many buttons on this thing! Hey! Look at the heads! Looks like the heads are gettin’ angry! Headward free now to rise! Ahem.  Uhhh… lop-oo-lop-oo-lop-oo-dups, nop-oo-nop-oo-nop-oo-nuts. SHOW ME WHAT YOU GOT. "
229,Morty!,"The heads are displeased! I’m sure that has… that has nothing to do with this. Nup-oo-nup-oo-nup-oo-nups… ooh, tough crowd. Mr. President, if I’ve learned one thing today, it’s that sometimes, you have to not give a fuck! I’m really bad at this, Morty! There are way too many buttons on this thing! Hey! Look at the heads! Looks like the heads are gettin’ angry! "
230,I say…  Let’s do it!,"What do you say, Rick? That’s right, it’s me, Ice-T! I care now! You made me care more! With all due respect, I’d like to hear what Rick and Morty have to play. DISQUALIFIED! DISQUALIFIED! The heads disqualified Vagina! Get him! DISQUALIFIED! I’m the only one that speaks to the heads! "
231,All right!,"I say…  Let’s do it! What do you say, Rick? That’s right, it’s me, Ice-T! I care now! You made me care more! With all due respect, I’d like to hear what Rick and Morty have to play. DISQUALIFIED! DISQUALIFIED! The heads disqualified Vagina! Get him! DISQUALIFIED! "
232,"Come on, here we go!","Ohhhh yeahhhh! All right! I say…  Let’s do it! What do you say, Rick? That’s right, it’s me, Ice-T! I care now! You made me care more! With all due respect, I’d like to hear what Rick and Morty have to play. DISQUALIFIED! DISQUALIFIED! "
233,Say it with me!,"Ohhhh yeahhhh! Come on, here we go! Ohhhh yeahhhh! All right! I say…  Let’s do it! What do you say, Rick? "
234,"Trade secret, Mr. President. Particle beam in a wristwatch… snake holster on the leg.","Why didn’t he turn into a snake? DIIIIEEEE!!!! Understood. Actually, if you try to tell anyone what happened here, we’ll deny it and probably worse. Sure thing! And I was kinda hoping that I could get a selfie with you? I hope I can call on you again if we need you, Morty. "
235,Don't worry about Jerry. He's gonna be fine.You hear me Jerry? You're gonna be fine!,"I have changed. I am ready to rejoin my brethren on Alphabetrium. Magnesium-J, Hydrogen-F. Father. I love this man! Trade secret, Mr. President. Particle beam in a wristwatch… snake holster on the leg. Why didn’t he turn into a snake? DIIIIEEEE!!!! "
236,"ooo... Watch out for that stuff. It'll stain if it gets on your clothes, and it'll send into a murderous rage if it gets in your eyes or mouth.","Woahh! Don't worry about Jerry. He's gonna be fine.You hear me Jerry? You're gonna be fine! I have changed. I am ready to rejoin my brethren on Alphabetrium. Magnesium-J, Hydrogen-F. Father. I love this man! Trade secret, Mr. President. Particle beam in a wristwatch… snake holster on the leg. "
237,"I know this isn't the time, but, you know, technically the second freezer drawer is mine.","Why would you keep mutant bacteria in a pint of Cherry Garcia? ooo... Watch out for that stuff. It'll stain if it gets on your clothes, and it'll send into a murderous rage if it gets in your eyes or mouth. Woahh! Don't worry about Jerry. He's gonna be fine.You hear me Jerry? You're gonna be fine! I have changed. I am ready to rejoin my brethren on Alphabetrium. Magnesium-J, Hydrogen-F. Father. "
238,You're overreacting!,"Not anymore. I know this isn't the time, but, you know, technically the second freezer drawer is mine. Why would you keep mutant bacteria in a pint of Cherry Garcia? ooo... Watch out for that stuff. It'll stain if it gets on your clothes, and it'll send into a murderous rage if it gets in your eyes or mouth. Woahh! Don't worry about Jerry. He's gonna be fine.You hear me Jerry? You're gonna be fine! "
239,"Alright fine, but you're not touching my CRISPR.","You're overreacting! Not anymore. I know this isn't the time, but, you know, technically the second freezer drawer is mine. Why would you keep mutant bacteria in a pint of Cherry Garcia? ooo... Watch out for that stuff. It'll stain if it gets on your clothes, and it'll send into a murderous rage if it gets in your eyes or mouth. Woahh! "
240,What? Every hospital claims to have the best doctor in the galaxy. It's like those pizza places that claim to have the best pizza in the world. What- Do you think they have pizza contests? Have you ever been to a pizza contest?,"Is he going to die? Alright fine, but you're not touching my CRISPR. You're overreacting! Not anymore. I know this isn't the time, but, you know, technically the second freezer drawer is mine. Why would you keep mutant bacteria in a pint of Cherry Garcia? "
241,"Fine!  Excuse me. Coming through. What are you here for- Just kidding, I don't care. Well this won't do.","Go in the waiting room, Dad. What? Every hospital claims to have the best doctor in the galaxy. It's like those pizza places that claim to have the best pizza in the world. What- Do you think they have pizza contests? Have you ever been to a pizza contest? Is he going to die? Alright fine, but you're not touching my CRISPR. You're overreacting! Not anymore. "
242,A sequel.,"Fine!  Excuse me. Coming through. What are you here for- Just kidding, I don't care. Well this won't do. Go in the waiting room, Dad. What? Every hospital claims to have the best doctor in the galaxy. It's like those pizza places that claim to have the best pizza in the world. What- Do you think they have pizza contests? Have you ever been to a pizza contest? Is he going to die? Alright fine, but you're not touching my CRISPR. You're overreacting! "
243,"Yeah me neither, we pretty much nailed it the first time.","A sequel. Fine!  Excuse me. Coming through. What are you here for- Just kidding, I don't care. Well this won't do. Go in the waiting room, Dad. What? Every hospital claims to have the best doctor in the galaxy. It's like those pizza places that claim to have the best pizza in the world. What- Do you think they have pizza contests? Have you ever been to a pizza contest? Is he going to die? Alright fine, but you're not touching my CRISPR. "
244,"You gotta be careful Morty, if that guy catches you with a box of his eye-holes he comes bursting in through a window and just starts kicking the shit outta you. But it's worth the risk, they melt in your mouth Morty! They're delicious.","Eye-holes! Get them today! IKEA. Yeah me neither, we pretty much nailed it the first time. A sequel. Fine!  Excuse me. Coming through. What are you here for- Just kidding, I don't care. Well this won't do. Go in the waiting room, Dad. What? Every hospital claims to have the best doctor in the galaxy. It's like those pizza places that claim to have the best pizza in the world. What- Do you think they have pizza contests? Have you ever been to a pizza contest? "
245,"Well you're thirty-nine years too late, or however old he is. Is he fifty? Oh man, Beth is, is Jerry fifity!?","I can't believe you're explaining alien cereal, we're worried about Jerry. You gotta be careful Morty, if that guy catches you with a box of his eye-holes he comes bursting in through a window and just starts kicking the shit outta you. But it's worth the risk, they melt in your mouth Morty! They're delicious. Eye-holes! Get them today! IKEA. Yeah me neither, we pretty much nailed it the first time. A sequel. Fine!  Excuse me. Coming through. What are you here for- Just kidding, I don't care. Well this won't do. "
246,"Hey, what's wrong Morty? Oh, you're worried about your dad, huh?","Yes I will! That's right, assholes, take my penis, TAKE IT ALL! And tell Shrimply Pimples that when the galaxy came calling Jerry Smith from Earth didn't flinch! Alright! That's enough. You're talking about my species! We understand genocide, we do it sometimes! Yeah, but, I mean- It's perfect! The configuration of veins, the ratio of thickness to elasticity, the delicate asymmetry of what you call ""your balls"". With relatively few adjustments, your genitals can be molded into a working heart for the most important man in the universe! I see-WAIT! What? My goodness. "
247,Morty let's-let's see what else is on.,"Huh? Uh, no no no, I'm-I'm just looking at that lady getting coffee. What's up with her face? Is she a human or is she like Worf. You know Worf, from Star Trek, where he has the shit all over his face but he's just a human in a costume, you know? Hey, what's wrong Morty? Oh, you're worried about your dad, huh? Yes I will! That's right, assholes, take my penis, TAKE IT ALL! And tell Shrimply Pimples that when the galaxy came calling Jerry Smith from Earth didn't flinch! Alright! That's enough. You're talking about my species! We understand genocide, we do it sometimes! Yeah, but, I mean- It's perfect! The configuration of veins, the ratio of thickness to elasticity, the delicate asymmetry of what you call ""your balls"". With relatively few adjustments, your genitals can be molded into a working heart for the most important man in the universe! "
248,"Oh, man Morty. How DID she get there?","Whoa! Look! It's that lady with all that shit on her face like Worf from Star Trek! That was getting coffee! How did she get there! Okay. Morty let's-let's see what else is on. Huh? Uh, no no no, I'm-I'm just looking at that lady getting coffee. What's up with her face? Is she a human or is she like Worf. You know Worf, from Star Trek, where he has the shit all over his face but he's just a human in a costume, you know? Hey, what's wrong Morty? Oh, you're worried about your dad, huh? Yes I will! That's right, assholes, take my penis, TAKE IT ALL! And tell Shrimply Pimples that when the galaxy came calling Jerry Smith from Earth didn't flinch! "
249,Just stay away from the coffee machine.,"Is that something we should be concerned about? Oh, man Morty. How DID she get there? Whoa! Look! It's that lady with all that shit on her face like Worf from Star Trek! That was getting coffee! How did she get there! Okay. Morty let's-let's see what else is on. Huh? Uh, no no no, I'm-I'm just looking at that lady getting coffee. What's up with her face? Is she a human or is she like Worf. You know Worf, from Star Trek, where he has the shit all over his face but he's just a human in a costume, you know? "
250,"Oh man, I'm trying to remember Morty.","Rick, who-who is Jan-Michael Vincent? And sixteen quadrants. There's only enough time for a Jan-Michael Vincent to make it to a quadrant. He can't be in two quadrants at once. In a world, where there are eight Jan-Michael Vincent's. Just stay away from the coffee machine. Is that something we should be concerned about? Oh, man Morty. How DID she get there? "
251,Nope.,"Is it important that we know who Jan-Michael Vincent is in order to get this? Jan-Michael Vincent's are used up. Oh man, I'm trying to remember Morty. Rick, who-who is Jan-Michael Vincent? And sixteen quadrants. There's only enough time for a Jan-Michael Vincent to make it to a quadrant. He can't be in two quadrants at once. In a world, where there are eight Jan-Michael Vincent's. "
252,That's Jan-Michaels.,"This January, It's time to Mike down your Vincent's. Jan Quadrant Vincent 16. Nope. Is it important that we know who Jan-Michael Vincent is in order to get this? Jan-Michael Vincent's are used up. Oh man, I'm trying to remember Morty. Rick, who-who is Jan-Michael Vincent? "
253,"All right, Morty you've done it!","Excuse me, nurse, can you take my temperature? Because I think I have Jan Quadrant Vincent fever over here. That's Jan-Michaels. This January, It's time to Mike down your Vincent's. Jan Quadrant Vincent 16. Nope. Is it important that we know who Jan-Michael Vincent is in order to get this? Jan-Michael Vincent's are used up. "
254,"Anyway, that's how I escaped from space prison! Oh, scary place.","Well, Jerry, what kind of wife would I be if I did anything to stand in your way? But, Beth, what kind of man would say something like that if the universe needed his penis!?! You know, I think, the bottom line is, Jerry, if you want to keep your penis, you should say, out loud, ""I prefer to keep my penis."" Beth, can we talk about this privately? Well I don't think that's fair at all, Jerry. At all. In fact, I think this whole paradigm has sexist overtones. Uh, well, Beth, I don't think your decision should be based on politics. Who could argue with a wife's decision to keep her LOVER INTACT. "
255,"Oh, come on. Who wants to watch a mad scientist use handmade sci-fi tools to take out highly trained alien guards when we can sit here and be a family at Shoney's?","Wow, Rick! That's -- That's one -- one heck of a story. I sure do wish I could have been there to see it happen. Anyway, that's how I escaped from space prison! Oh, scary place. Well, Jerry, what kind of wife would I be if I did anything to stand in your way? But, Beth, what kind of man would say something like that if the universe needed his penis!?! You know, I think, the bottom line is, Jerry, if you want to keep your penis, you should say, out loud, ""I prefer to keep my penis."" Beth, can we talk about this privately? "
256,"Emotionally speaking, honey, Shoney's is my home.","Dad, it's great to have you back, no matter where we are, but wouldn't you like to go home? Oh, come on. Who wants to watch a mad scientist use handmade sci-fi tools to take out highly trained alien guards when we can sit here and be a family at Shoney's? Wow, Rick! That's -- That's one -- one heck of a story. I sure do wish I could have been there to see it happen. Anyway, that's how I escaped from space prison! Oh, scary place. Well, Jerry, what kind of wife would I be if I did anything to stand in your way? But, Beth, what kind of man would say something like that if the universe needed his penis!?! "
